,Runs_scored,Minutes_at_crease,Balls_Faced,Number_of_4s,Number_of_6s,Strike_rate,Position,Dismissal,Innings,Opposition,Ground,Start_date,Odi_number,status,Year,Month
0,12,33,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,2008-08-18,ODI # 2742,Out,2008,8
1,37,82,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,2008-08-20,ODI # 2745,Out,2008,8
2,25,40,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),2008-08-24,ODI # 2750,Out,2008,8
3,54,87,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),2008-08-27,ODI # 2755,Out,2008,8
4,31,45,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),2008-08-29,ODI # 2756,Out,2008,8
5,2,6,2,0,0,100.00,7,not out,1,v Sri Lanka,Colombo (RPS),2009-09-14,ODI # 2889,Not_out,2009,9
6,16,28,24,1,0,66.66,4,caught,2,v Pakistan,Centurion,2009-09-26,ODI # 2898,Out,2009,9
8,79,121,104,9,2,75.96,4,not out,2,v West Indies,Johannesburg,2009-09-30,ODI # 2904,Not_out,2009,9
9,30,53,41,3,0,73.17,4,caught,2,v Australia,Vadodara,2009-10-25,ODI # 2913,Out,2009,10
10,10,32,16,1,0,62.50,3,caught,2,v Australia,Mohali,2009-11-02,ODI # 2919,Out,2009,11
11,27,20,19,4,0,142.10,7,bowled,1,v Sri Lanka,Rajkot,2009-12-15,ODI # 2932,Out,2009,12
12,54,93,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,2009-12-18,ODI # 2933,Out,2009,12
13,107,-,114,11,1,93.85,4,caught,2,v Sri Lanka,Eden Gardens,2009-12-24,ODI # 2935,Out,2009,12
15,9,19,12,1,0,75.00,3,caught,1,v Sri Lanka,Mirpur,2010-01-05,ODI # 2938,Out,2010,1
16,91,136,102,7,0,89.21,3,caught,2,v Bangladesh,Mirpur,2010-01-07,ODI # 2939,Out,2010,1
17,71,98,68,9,0,104.41,3,not out,2,v Sri Lanka,Mirpur,2010-01-10,ODI # 2941,Not_out,2010,1
18,102,128,95,11,0,107.36,3,not out,2,v Bangladesh,Mirpur,2010-01-11,ODI # 2942,Not_out,2010,1
